Message   IsError?
Resource not found.   1
404 Error thrown    1
oops... There seems to be a problem loading the page     1
If you are up for some practical activities, here is a little challenge   0
Accuracy obtained in the tutorial. But remember, Accuracy is not enough,    0
An error has occurred.   1
Page not found    1
He needs to learn the error of his ways   0
Websites have long played with fun 404 pages–that’s the error page you get    0
Although a user may not want a comedic error message when their credit card number isn’t correct, there are some situations where it might be nice to be funny    0
Error 404: We couldn't find that page, sorry. Not Found   1
503 Response from the server    1
400 bad request   1
Bad Gateway timeout   1
Service Unavailable   1
He felt so unavailable when he met his new teacher  0
500 internal service error    1
I'm sorry, the page is unavailable    1
404 Not Found   1
The President speaks for himself, Chris.    0
I’ve spoken, I’ve made my own comments as to our values as well in a speech I gave to the State Department this past week   0
Something went wrong    1
An error message occurred    1
Net_SendPaket ERROR   1
Something bad happened  0
When computer starts caring about your TV   0
An error message is information displayed when an unexpected condition occurs,    0
Windows failed to start   1
Connection Failed   1
But it doesn’t confine its colorful language to just wrongly entered passwords.   0
For the most part, it’s a pretty straightforward error message until you get to the end and have to do a double-take.   0
Failed to startup ssh Session   1
File Not Found!   1
Programmer Martin Rubli was not pleased with Windows Vista from the very beginning.   0
When a process (or thread) terminates, it is usually said to have 'died,'   0
I actually laughed out loud at the socket error success story one!    0
here are two error messages I must include here.    0
No handler configured   1
Request Header too long   1
Denied by filtering Rule  1
Too Many URL Segments   1
Content Length too large    1
File extension denied   1
Request contains high-bit characters    1
Query string sequence denied    1
My grandmother died today, our family is recovering.    0
DAV request sent to the static file handle    1
Verb denied   1
Oh no! Space invaders destroyed this page! Take revenge on them.    1
We are looking for you page, but we can't find it.    1
oops! Something went wrong.   1
The most awkward 404 page not found on the internet   1
The page you are looking for can't be found   1
Oops! Looks like you got off at the wrong stop!
404. Page not found!    1
Ahhhhhhhhhhh! This page does not exist    1
We can't seem to find the page you're looking for    1
This is not the web page you are looking for    1
The page you are looking for appears to have been moved, deleted, or does not exist   1
This isn't the thing you're looking for   1
The style of the 404 page fits the rest of the site design nicely, reflecting the same lighthearted approach that makes an otherwise boring task into something fun and endearing.    0
Clicking on a broken link is a pain, but a witty and well-designed error page can sweeten the pill.   0
It's brilliantly executed and nicely interactive.   0
You just got 404'd    1
all of which leaves an excellent impression    0
The site's worth a visit just for the brilliant artwork   0
This is not a page    1
Is anything truly real? Makes you think, no?    0
Bret Victor's 404 page, inspired of course by René Magritte's iconic painting, The Treachery of Images, confronts the viewer with some challenging philosophical questions.   0
Audio can be very effective when used in a 404 capacity   0
Looking for something?    1
Their business is based on strong design principles,  so you'd expect a well-realised 404 page – and they don't disappoint.   0
Somethings wrong here!    1
The page itself features a cute little creature bobbing up and down in an interactive sea, and responds to your mouse movements.    0
You can take this at face value, or see it as signifying the inside-out nature of having navigated to a non-existent page.    0
Whoops... that was unexpected.    1
It's a good example of a clean approach to handling errors    0
Or maybe it's suggesting that you should just get plastered?    0
Web page required!    1
Bold typography makes this page work well    0
Grats. You broke it!   1
Video game developer Blizzard takes an original approach to its 404 page that fits in with its general style, using broken glass as a metaphor for the broken link.    0
Unable to locate parameter in Javascript file    1
It’s all about context.    0
Uncaught TypeError: undefined is not a function    1
That joke in many ways characterizes the type of confusion that often exists for developers    0
As JavaScript coding techniques and design patterns    0
it would be important that they both get the same object   0
An error has occurred in the script on this page    1
Done but with errors on the page   1
A Runtime Error has occurred   1
Uncaught syntax error: Unexpected token    1
Unable to connect    1
Security Exception   1
Server Error In "/" Application    1
This site's security certificate is not trusted    1
Could not convert null to int because its a none-nullable data type   1
401 unautherized: Access is denied due to invalid credentials   1
An internal error has occurred, unable to load resource.   1
Invalid Name    1
Invalid Email   1
StringExcetpion   1
Failed to load image    1
ParseError: syntax Error, unexpected    1
502 Bad Gateway   1
Service Temporarily unavailable   1
Due to maintenance we are unable to process your request at this time   1
404 - File not found    1
Looks like this page is missing   1
Internal Server Error   1
Error: Server is not responding   1
Tell us about your application    0
You better learn the error of your ways   0
Page isn't working    1
Your connection is not private    1
408 Request timeout   1
Fatal Error occurred    1
Sorry, something went wrong   1
404 Not Acceptable    1
Bad Request   1
This page can't be displayed    1
Embrace humor in the situation    0
Keep it lighthearted, otherwise it may seem like you’re trying to cover up a mistake rather than owning up to it.   0
Doing some heavy lifting for your user is usually the best way to ensure a great experience.    0
Sorry, We can't find an account with that username    1
Igniting the business of creation on the web    0
With fame and money he can do whatever he wants   0
That was a reference to remarks Tillerson made Aug. 18 about inclusiveness and tolerance in a discussion of racial diversity and American values.   0
Trump has condemned hate groups in the wake of Charlottesville    0
IT Roles and Responsibilities   0
Conor didn't have the pure boxing fundamentals to compete for 12 full rounds.   0
This is how a tomato separator works    0
World population database is growing    0
How cool is this, Compiled C code!    0
Easy and powerful reverse proxy and load balancing with Docker    0
The Dubs will have 31 nationally televised games this coming season. More notes & numbers in our 2017-18 Schedule Infographic!    0
This is going to be totally wrong.    0
Tonight was a damn good fight   0
Be prepared for the worse-case scenario   0
Scientists make shocking discovery about yoga mats    0
The study will be published online August 25, 2017 in Environmental Health Perspectives.    0
Other Harvard Chan authors include Lidia Mínguez-Alarcón, Paige Williams, and Jennifer Ford.    0
A common type of flame retardant was associated with reduced likelihood of clinical pregnancy and live birth following IVF. Couples undergoing IVF may want to opt for products that are flame-retardant free.    0
Im sorry for what I've done   0
In a ’90s flower-print dress and witchy boots, Este seized a vintage bass.  0
Shifting dynamics play a big part in the Haim sound. It was meant to be a short session; four hours later, the group was still there, perfecting.   0
After nearly four years of worldwide touring, “we really felt on fire as a band,” Danielle said.    0
Get the children ready for a hurricane    0
5 things not to do in a hurricane   0
For two rounds, McGregor looked completely at home in the ring.   0
Then Mayweather started opening up in the third. Then he started landing in the fourth. Then he started landing a bunch in the fifth.   0
Spurs win!    0
